merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
Ck2Zqh2h13O4LC,2021-11-01,Retained,3,477398.0,
Ck2Zqh2h13O4LC,2022-06-01,Retained,7,691400.0,
Ck2Zqh2h13O4LC,2022-12-01,Retained,7,472000.0,
FrrWYZhqU84mjb,2023-01-01,Retained,1,535.34,
Fu3iTOaU7eCSSG,2023-07-01,Retained,139,97842.75,2023-08-01
G37RDvP6z7KE2M,2021-10-01,Retained,6,108000.0,
GAxBNKt9s1C805,2021-10-01,Revived,1,1500.0,
GDLEZY7iSka00D,2022-06-01,Retained,8,55000.0,
GDLEZY7iSka00D,2022-12-01,Retained,5,31000.0,
GHkAIgpHVX4c4R,2021-11-01,Retained,44,23075.78,
GHkAIgpHVX4c4R,2023-04-01,Retained,38,18962.84,
GIS8xEDLBNHEgJ,2023-04-01,Retained,8,36493.0,
GMOBWWns55h2N7,2023-07-01,Retained,2,3310.0,2023-08-01
IGkaAaBPWJnq2S,2021-11-01,New,3,155.4,
IIGWgIT1lTzQEJ,2022-02-01,Retained,1,1250.0,2022-03-01
IA3p2WOw43h0WH,2022-06-01,Retained,17,33666.6,
Gk5aYGDoeCVs7B,2021-11-01,Retained,6,50000.0,
Gk5aYGDoeCVs7B,2023-04-01,Retained,3,25000.0,
Gta0c1In9uWe5A,2023-04-01,Retained,200,622366.37,
GvdMTilKXun6bb,2022-06-01,Revived,1,750.0,
Gzt3qRoP3dCrpA,2022-12-01,Retained,12,908320.0,
H4lTmtttRTjlpj,2023-03-01,Retained,181,238332.44,
HGT8i1gp9jOGQ4,2022-11-01,Revived,1,162.0,2022-12-01
HJlYCKv9Iafc9V,2021-10-01,Retained,2,24.0,
HOQaxtUauIl75f,2022-12-01,Retained,61,11652.26,
HTaaAO6RflCZP0,2021-10-01,Retained,383,71130.0,
HTaaAO6RflCZP0,2022-06-01,Retained,211,44530.0,
HTaaAO6RflCZP0,2023-04-01,Retained,255,51260.0,
HXgqaHeNe0gGL0,2023-04-01,Revived,3,1601.79,
HmePD9ZmVH1VVx,2021-10-01,Retained,26,13104.28,
HsekQZq8hxu2l4,2023-07-01,Retained,2,26400.0,2023-08-01
Hu8brrbHl53gUS,2023-01-01,Revived,3,3246.0,
Hwbu9psps4IF0t,2021-11-01,Revived,1,1.0,
J3sVwmlTv6ai4W,2022-05-01,Revived,1,15000.0,2022-06-01
J7nC3s2b9DzJbq,2023-01-01,Revived,14,70.0,
JQF1rZy1zAzxuT,2022-05-01,New,1,30000.0,2022-06-01
JRBVZlPnAev349,2022-05-01,New,2,2600.0,2022-06-01
JeUGTGtLef3f7Z,2022-07-01,Retained,4,36.66,
JiVyy7J8SKWSUL,2023-01-01,Retained,8,10620.0,
JuozcDP0bnTZPc,2022-12-01,Retained,27,485000.0,
JzEsnEed22Q68u,2022-07-01,New,1,10.0,
K18EMcjVeoGgbx,2022-08-01,New,2,5001.0,2022-09-01
K1jFaYJPaolqEa,2022-08-01,New,1,1.0,2022-09-01
ILMMXqSijNkPCE,2021-12-01,Retained,20,10462.0,
ILn87FyIQx8lIm,2021-12-01,New,1,10000.0,2022-01-01
INmSeldc63QJ9j,2022-06-01,Retained,322,252863.5,
INmSeldc63QJ9j,2022-12-01,Retained,989,718838.3,
ISwhiDeEjewwgN,2023-02-01,Retained,1,10.0,2023-03-01
IYZ60LwHOoQHKa,2022-08-01,Retained,53,128002.0,
